policy,period,cnt
"정책카드: 공원·녹지",2022-07,1
"정책카드: 공원·녹지",2024-01,1
"정책카드: 공원·녹지",2025-01,1
"정책카드: 교통·도로/시설안전",2023-01,1
"정책카드: 교통·도로/시설안전",2026-02,1
"정책카드: 기타",2024-01,1
"정책카드: 대곡역 환승체계(교통/광역교통)",2022-07,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2023-01,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2023-07,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2024-01,3
"정책카드: 대곡역 환승체계(교통/광역교통)",2024-07,3
"정책카드: 대곡역 환승체계(교통/광역교통)",2025-01,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2025-07,3
"정책카드: 대곡역 환승체계(교통/광역교통)",2026-01,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2026-02,2
"정책카드: 상하수도·인프라",2023-07,1
"정책카드: 상하수도·인프라",2024-01,1
"정책카드: 상하수도·인프라",2026-01,1
